time,dt,error,p,i,d
1763500378.2578716,0.058133602142333984,[-0.09882383  0.13096383],[-0.0592943  0.0785783],[-0.38205174  0.11324662],[0.4242843  0.16236733]
1763500378.3175342,0.059662580490112305,[-0.08696342  0.13624331],[-0.05217805  0.08174599],[-0.39294751  0.13031674],[0.43734146 0.19467563]
1763500378.3767276,0.05919337272644043,[-0.08024378  0.13917128],[-0.04814627  0.08350277],[-0.4029223   0.14761658],[0.24974419 0.10882191]
1763500378.4364357,0.0597081184387207,[-0.06476898  0.13906002],[-0.03886139  0.08343601],[-0.41104349  0.1650529 ],[ 0.57018296 -0.00409955]
1763500378.4961176,0.05968189239501953,[-0.04720635  0.13351641],[-0.02832381  0.08010984],[-0.41695996  0.18178678],[ 0.64739538 -0.20434924]
1763500378.5556066,0.05948901176452637,[-0.03872838  0.12955958],[-0.02323703  0.07773575],[-0.42179818  0.19797226],[ 0.31352921 -0.14632985]
1763500378.6147528,0.05914616584777832,[-0.02109375  0.12604167],[-0.01265625  0.075625  ],[-0.42441817  0.21362751],[ 0.65593747 -0.13085228]
1763500378.6737638,0.059010982513427734,[-0.00227547  0.11939726],[-0.00136528  0.07163836],[-0.42470015  0.22842358],[ 0.7015681  -0.24771147]
1763500378.7333074,0.059543609619140625,[0.02107515 0.10880648],[0.01264509 0.06528389],[-0.42206488  0.24202892],[ 0.86275194 -0.39130491]
1763500378.7922676,0.0589601993560791,[0.0477459  0.09583333],[0.02864754 0.0575    ],[-0.41615315  0.25389466],[ 0.99517358 -0.48407111]
1763500378.8518045,0.05953693389892578,[0.06196022 0.08727274],[0.03717613 0.05236364],[-0.40840642  0.26480616],[ 0.52524564 -0.3163298 ]
1763500378.9105818,0.0587773323059082,[0.08890624 0.07229166],[0.05334374 0.043375  ],[-0.39743251  0.27372929],[ 1.00857324 -0.56073273]
1763500378.969311,0.05872917175292969,[0.1172631 0.0562836],[0.07035786 0.03377016],[-0.3829703   0.28067082],[ 1.06225058 -0.59966332]
1763500379.0292249,0.05991387367248535,[0.14203537 0.04301774],[0.08522122 0.02581064],[-0.36509954  0.28608327],[ 0.909622   -0.48711424]
1763500379.0882053,0.058980464935302734,[0.17096841 0.03316809],[0.10258105 0.01990086],[-0.34392356  0.29019144],[ 1.07921676 -0.3673965 ]
1763500379.1454575,0.05725216865539551,[0.18679316 0.02395833],[0.1120759 0.014375 ],[-0.3214655   0.29307194],[ 0.60808952 -0.35389877]
1763500379.2046027,0.059145212173461914,[0.21357925 0.00552692],[0.12814755 0.00331615],[-0.29493791  0.29375841],[ 0.99635107 -0.68558551]
1763500379.26405,0.059447288513183594,[ 0.24255757 -0.0094079 ],[ 0.14553454 -0.00564474],[-0.26465719  0.29258393],[ 1.0724175  -0.55270169]
1763500379.3235455,0.05949544906616211,[ 0.26989009 -0.02379885],[ 0.16193406 -0.01427931],[-0.230937    0.28961049],[ 1.01069151 -0.53214289]
1763500379.382447,0.05890154838562012,[ 0.2845499  -0.03020833],[ 0.17072994 -0.018125  ],[-0.1957401   0.28587393],[ 0.54755067 -0.23939726]
1763500379.4414685,0.0590214729309082,[ 0.30901352 -0.04270833],[ 0.18540811 -0.025625  ],[-0.15743939  0.28058044],[ 0.91187082 -0.46593212]
1763500379.50129,0.05982160568237305,[ 0.33428819 -0.053125  ],[ 0.20057292 -0.031875  ],[-0.11544431  0.27390659],[ 0.92950153 -0.38308344]
1763500379.5595245,0.058234453201293945,[ 0.35744629 -0.06354167],[ 0.21446777 -0.038125  ],[-0.07173136  0.26613593],[ 0.87487409 -0.3935242 ]
